name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,audio_features,id,uri,track_href,analysis_url,duration_ms,time_signature,target
Watermelon Man - Remastered,Herbie Hancock,0.612,0.526,0,-8.558,0,0.0272,0.727,0.0331,0.183,0.594,129.341,audio_features,,38xcUjiTP1ivfb7ObwjyGA,spotify:track:38xcUjiTP1ivfb7ObwjyGA,https://api.spotify.com/v1/tracks/38xcUjiTP1ivfb7ObwjyGA,https://api.spotify.com/v1/audio-analysis/38xcUjiTP1ivfb7ObwjyGA,429267,4,jazz
Dig Dis - Remastered 1999/Rudy Van Gelder Edition,Hank Mobley,0.599,0.444,5,-8.648,0,0.044,0.82,0.000474,0.122,0.508,142.81,audio_features,,10kVwPSRjUYja0EtdqmXHe,spotify:track:10kVwPSRjUYja0EtdqmXHe,https://api.spotify.com/v1/tracks/10kVwPSRjUYja0EtdqmXHe,https://api.spotify.com/v1/audio-analysis/10kVwPSRjUYja0EtdqmXHe,369387,4,jazz
Moanin' - Remastered,Art Blakey,0.612,0.493,5,-8.589,0,0.0467,0.804,0.266,0.202,0.484,126.358,audio_features,,4Vkk3iD1VrENHJEACNddvt,spotify:track:4Vkk3iD1VrENHJEACNddvt,https://api.spotify.com/v1/tracks/4Vkk3iD1VrENHJEACNddvt,https://api.spotify.com/v1/audio-analysis/4Vkk3iD1VrENHJEACNddvt,570720,4,jazz
One For Daddy-O - Remastered,Cannonball Adderley,0.616,0.434,5,-7.257,0,0.031,0.581,0,0.131,0.404,108.467,audio_features,,4f0D7T8yswXUJ62AKLoMtS,spotify:track:4f0D7T8yswXUJ62AKLoMtS,https://api.spotify.com/v1/tracks/4f0D7T8yswXUJ62AKLoMtS,https://api.spotify.com/v1/audio-analysis/4f0D7T8yswXUJ62AKLoMtS,505453,4,jazz
The Sidewinder,ARTEMIS,0.678,0.372,10,-12.272,0,0.0254,0.576,0.209,0.0957,0.716,99.162,audio_features,,3DeSfcOZOa7DUhLB4LVrpd,spotify:track:3DeSfcOZOa7DUhLB4LVrpd,https://api.spotify.com/v1/tracks/3DeSfcOZOa7DUhLB4LVrpd,https://api.spotify.com/v1/audio-analysis/3DeSfcOZOa7DUhLB4LVrpd,305286,4,jazz
Song For My Father,Horace Silver,0.742,0.671,5,-8.142,0,0.0407,0.794,0.00441,0.122,0.591,127.359,audio_features,,1CDBaGlisZlOJzvx88lL8A,spotify:track:1CDBaGlisZlOJzvx88lL8A,https://api.spotify.com/v1/tracks/1CDBaGlisZlOJzvx88lL8A,https://api.spotify.com/v1/audio-analysis/1CDBaGlisZlOJzvx88lL8A,438280,4,jazz
Book Of Slim,Gene Harris & The Three Sounds,0.679,0.513,2,-9.073,0,0.0312,0.428,0.00152,0.165,0.762,91.392,audio_features,,4qRyiKJFPLlaEma8BDaVML,spotify:track:4qRyiKJFPLlaEma8BDaVML,https://api.spotify.com/v1/tracks/4qRyiKJFPLlaEma8BDaVML,https://api.spotify.com/v1/audio-analysis/4qRyiKJFPLlaEma8BDaVML,203160,4,jazz
Shine It,"Medeski, Martin & Wood",0.623,0.66,10,-9.175,0,0.0376,0.484,0.918,0.0631,0.562,110.221,audio_features,,69xdPh6CEOpwcP4ZpReWmH,spotify:track:69xdPh6CEOpwcP4ZpReWmH,https://api.spotify.com/v1/tracks/69xdPh6CEOpwcP4ZpReWmH,https://api.spotify.com/v1/audio-analysis/69xdPh6CEOpwcP4ZpReWmH,299067,4,jazz
Let 'Em Roll,Big John Patton,0.533,0.562,0,-11.016,1,0.0306,0.664,0.00695,0.0804,0.724,68.344,audio_features,,1f2hIPiAT870zgTAr7o1Jp,spotify:track:1f2hIPiAT870zgTAr7o1Jp,https://api.spotify.com/v1/tracks/1f2hIPiAT870zgTAr7o1Jp,https://api.spotify.com/v1/audio-analysis/1f2hIPiAT870zgTAr7o1Jp,408267,4,jazz
Bright Eyes - Live,Dr. Lonnie Smith,0.411,0.465,5,-9.76,0,0.126,0.725,0.528,0.945,0.59,66.151,audio_features,,5c17qhp5zR2gs61XNEpAnC,spotify:track:5c17qhp5zR2gs61XNEpAnC,https://api.spotify.com/v1/tracks/5c17qhp5zR2gs61XNEpAnC,https://api.spotify.com/v1/audio-analysis/5c17qhp5zR2gs61XNEpAnC,445067,4,jazz
