name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,audio_features,id,uri,track_href,analysis_url,duration_ms,time_signature,target
Take It Off,Softcult,0.646,0.669,6,-7.31,0,0.0275,0.0148,0.000115,0.373,0.484,114.999,audio_features,,5xtSnYsevveWRiYmKTnxWS,spotify:track:5xtSnYsevveWRiYmKTnxWS,https://api.spotify.com/v1/tracks/5xtSnYsevveWRiYmKTnxWS,https://api.spotify.com/v1/audio-analysis/5xtSnYsevveWRiYmKTnxWS,191685,4,indie
"It's Not You, It's Me",EXES,0.689,0.493,10,-8.138,1,0.0419,0.696,0.000129,0.133,0.314,96.027,audio_features,,72zrIWo99bFsoGvmSu0Dnf,spotify:track:72zrIWo99bFsoGvmSu0Dnf,https://api.spotify.com/v1/tracks/72zrIWo99bFsoGvmSu0Dnf,https://api.spotify.com/v1/audio-analysis/72zrIWo99bFsoGvmSu0Dnf,165000,4,indie
Dream House,COIN,0.822,0.66,0,-5.618,1,0.0553,0.152,0.00747,0.209,0.611,122.006,audio_features,,60lvIOvMGnA99LuSofbcyw,spotify:track:60lvIOvMGnA99LuSofbcyw,https://api.spotify.com/v1/tracks/60lvIOvMGnA99LuSofbcyw,https://api.spotify.com/v1/audio-analysis/60lvIOvMGnA99LuSofbcyw,184800,4,indie
Spinning,GRAE,0.641,0.857,7,-7.572,1,0.0431,0.0388,0.727,0.339,0.781,150,audio_features,,0R6pHybIu4aJA6gJEJgRbc,spotify:track:0R6pHybIu4aJA6gJEJgRbc,https://api.spotify.com/v1/tracks/0R6pHybIu4aJA6gJEJgRbc,https://api.spotify.com/v1/audio-analysis/0R6pHybIu4aJA6gJEJgRbc,188173,4,indie
Someday I'll Be Happy,OCTAVIO,0.585,0.867,2,-2.58,1,0.117,0.0698,0,0.14,0.464,146.01,audio_features,,36abeitRdTDdUxYahI6tMU,spotify:track:36abeitRdTDdUxYahI6tMU,https://api.spotify.com/v1/tracks/36abeitRdTDdUxYahI6tMU,https://api.spotify.com/v1/audio-analysis/36abeitRdTDdUxYahI6tMU,165680,4,indie
Half Life,The Undercover Dream Lovers,0.701,0.583,10,-7.474,1,0.0258,0.136,0.491,0.0769,0.67,106.004,audio_features,,7EpbGGZSj9wsXVHmQg7gyN,spotify:track:7EpbGGZSj9wsXVHmQg7gyN,https://api.spotify.com/v1/tracks/7EpbGGZSj9wsXVHmQg7gyN,https://api.spotify.com/v1/audio-analysis/7EpbGGZSj9wsXVHmQg7gyN,208893,4,indie
IDK,Phoebe Green,0.636,0.774,7,-5.219,1,0.0449,0.00335,0.000344,0.076,0.906,109.999,audio_features,,5oObGXk0NriZXxV78aIO0X,spotify:track:5oObGXk0NriZXxV78aIO0X,https://api.spotify.com/v1/tracks/5oObGXk0NriZXxV78aIO0X,https://api.spotify.com/v1/audio-analysis/5oObGXk0NriZXxV78aIO0X,206662,4,indie
Till Forever Falls Apart,Ashe,0.509,0.498,2,-6.94,1,0.0315,0.413,0,0.0674,0.283,99.729,audio_features,,2769RhOZs0ezRncRW1vryp,spotify:track:2769RhOZs0ezRncRW1vryp,https://api.spotify.com/v1/tracks/2769RhOZs0ezRncRW1vryp,https://api.spotify.com/v1/audio-analysis/2769RhOZs0ezRncRW1vryp,222861,4,indie
Dumb Girl,LAYNE,0.625,0.722,3,-6.073,1,0.0276,0.0162,0.122,0.133,0.797,120.024,audio_features,,1ncVpMTDUXN0kaJWncRg7t,spotify:track:1ncVpMTDUXN0kaJWncRg7t,https://api.spotify.com/v1/tracks/1ncVpMTDUXN0kaJWncRg7t,https://api.spotify.com/v1/audio-analysis/1ncVpMTDUXN0kaJWncRg7t,181248,4,indie
Cloud 9,Beach Bunny,0.637,0.929,4,-3.593,1,0.0491,0.00167,2.62E-05,0.344,0.902,80.974,audio_features,,6vFsBXYczYsP0H3lgunZOm,spotify:track:6vFsBXYczYsP0H3lgunZOm,https://api.spotify.com/v1/tracks/6vFsBXYczYsP0H3lgunZOm,https://api.spotify.com/v1/audio-analysis/6vFsBXYczYsP0H3lgunZOm,147351,4,indie
Best Thing,JAWNY,0.781,0.746,5,-6.327,0,0.38,0.503,0,0.106,0.858,95.73,audio_features,,4O7N7BLSnvItd2NecWsrV9,spotify:track:4O7N7BLSnvItd2NecWsrV9,https://api.spotify.com/v1/tracks/4O7N7BLSnvItd2NecWsrV9,https://api.spotify.com/v1/audio-analysis/4O7N7BLSnvItd2NecWsrV9,156709,4,indie
King of the Basement,Ryan Woods,0.522,0.577,7,-6.688,0,0.0319,0.0671,0.000215,0.288,0.662,80.989,audio_features,,2YGSiFpIrhHHzpogSahLK5,spotify:track:2YGSiFpIrhHHzpogSahLK5,https://api.spotify.com/v1/tracks/2YGSiFpIrhHHzpogSahLK5,https://api.spotify.com/v1/audio-analysis/2YGSiFpIrhHHzpogSahLK5,264821,3,indie
Mol y Sol,Brijs,0.58,0.798,11,-6.999,1,0.0259,0.141,0.00411,0.215,0.506,93.011,audio_features,,7AlzbuJ7jtFC2roWwgXvLL,spotify:track:7AlzbuJ7jtFC2roWwgXvLL,https://api.spotify.com/v1/tracks/7AlzbuJ7jtFC2roWwgXvLL,https://api.spotify.com/v1/audio-analysis/7AlzbuJ7jtFC2roWwgXvLL,210360,4,indie
PWR,Grand Pax,0.512,0.622,3,-7.829,1,0.0812,0.0408,0.049,0.286,0.415,173.925,audio_features,,7N2hQ47vk6s35F1rSoodDm,spotify:track:7N2hQ47vk6s35F1rSoodDm,https://api.spotify.com/v1/tracks/7N2hQ47vk6s35F1rSoodDm,https://api.spotify.com/v1/audio-analysis/7N2hQ47vk6s35F1rSoodDm,202435,4,indie
Lost In Love,Jany Green,0.788,0.846,1,-6.005,1,0.0411,0.0364,0.00466,0.0963,0.794,121.928,audio_features,,3ZeR4nO0QmiIP8DlNYz4wm,spotify:track:3ZeR4nO0QmiIP8DlNYz4wm,https://api.spotify.com/v1/tracks/3ZeR4nO0QmiIP8DlNYz4wm,https://api.spotify.com/v1/audio-analysis/3ZeR4nO0QmiIP8DlNYz4wm,130612,4,indie
Papercut,bennytheghost,0.602,0.516,2,-7.575,0,0.0533,0.521,1.69E-06,0.214,0.337,140.057,audio_features,,2eWz1ODTF9DcKikcwxsc9A,spotify:track:2eWz1ODTF9DcKikcwxsc9A,https://api.spotify.com/v1/tracks/2eWz1ODTF9DcKikcwxsc9A,https://api.spotify.com/v1/audio-analysis/2eWz1ODTF9DcKikcwxsc9A,193448,4,indie
Anybody Else,spill tab,0.658,0.666,0,-5.107,0,0.0398,0.139,0.00402,0.494,0.608,107.935,audio_features,,3FyNoNgNO6qkdjCD6eFikX,spotify:track:3FyNoNgNO6qkdjCD6eFikX,https://api.spotify.com/v1/tracks/3FyNoNgNO6qkdjCD6eFikX,https://api.spotify.com/v1/audio-analysis/3FyNoNgNO6qkdjCD6eFikX,130840,4,indie
What They'll Say About Us,FINNEAS,0.535,0.314,7,-12.823,0,0.0408,0.895,0.00015,0.0874,0.0663,145.095,audio_features,,27Y1N4Q4U3EfDU5Ubw8ws2,spotify:track:27Y1N4Q4U3EfDU5Ubw8ws2,https://api.spotify.com/v1/tracks/27Y1N4Q4U3EfDU5Ubw8ws2,https://api.spotify.com/v1/audio-analysis/27Y1N4Q4U3EfDU5Ubw8ws2,187601,4,indie
Dizzy,SHAED,0.625,0.477,4,-6.46,0,0.031,0.333,6.41E-05,0.344,0.199,113.979,audio_features,,2vB3u3aqSPeH51SSUuNbOh,spotify:track:2vB3u3aqSPeH51SSUuNbOh,https://api.spotify.com/v1/tracks/2vB3u3aqSPeH51SSUuNbOh,https://api.spotify.com/v1/audio-analysis/2vB3u3aqSPeH51SSUuNbOh,160667,4,indie
Weirdo,More Fatter,0.753,0.656,11,-5.073,0,0.0402,0.00674,0.0146,0.103,0.752,111,audio_features,,2bXZrZbhRU6IQha9s5I2X2,spotify:track:2bXZrZbhRU6IQha9s5I2X2,https://api.spotify.com/v1/tracks/2bXZrZbhRU6IQha9s5I2X2,https://api.spotify.com/v1/audio-analysis/2bXZrZbhRU6IQha9s5I2X2,181177,4,indie
Screws,The Foxies,0.576,0.829,0,-4.323,0,0.0593,0.00265,0.00515,0.304,0.652,167.99,audio_features,,4xTdNpAQ31dPOEvXtRKoby,spotify:track:4xTdNpAQ31dPOEvXtRKoby,https://api.spotify.com/v1/tracks/4xTdNpAQ31dPOEvXtRKoby,https://api.spotify.com/v1/audio-analysis/4xTdNpAQ31dPOEvXtRKoby,165323,4,indie
See You Later,Alexander 23,0.585,0.809,7,-6.21,1,0.0679,0.657,0.32,0.329,0.78,154.09,audio_features,,4OHXUCTieg7Ba4My21pFz8,spotify:track:4OHXUCTieg7Ba4My21pFz8,https://api.spotify.com/v1/tracks/4OHXUCTieg7Ba4My21pFz8,https://api.spotify.com/v1/audio-analysis/4OHXUCTieg7Ba4My21pFz8,162467,4,indie
Me & You Together Song,The 1975,0.272,0.763,9,-5.861,1,0.0348,1.65E-06,0.00157,0.299,0.394,107.388,audio_features,,4AQzk2yNWKs6sYhZi6NzVN,spotify:track:4AQzk2yNWKs6sYhZi6NzVN,https://api.spotify.com/v1/tracks/4AQzk2yNWKs6sYhZi6NzVN,https://api.spotify.com/v1/audio-analysis/4AQzk2yNWKs6sYhZi6NzVN,209501,4,indie
Hey Lover!,Wabie,0.586,0.744,4,-10.142,1,0.0508,0.00614,0.000172,0.372,0.523,117.006,audio_features,,7rC3P7tpWriaC4hYWKwGQd,spotify:track:7rC3P7tpWriaC4hYWKwGQd,https://api.spotify.com/v1/tracks/7rC3P7tpWriaC4hYWKwGQd,https://api.spotify.com/v1/audio-analysis/7rC3P7tpWriaC4hYWKwGQd,162560,4,indie
PINCH ME,young friend,0.777,0.465,6,-10.55,0,0.0501,0.621,0,0.0932,0.757,113.003,audio_features,,1VkM4OtAnNtJa6XBT3SHR6,spotify:track:1VkM4OtAnNtJa6XBT3SHR6,https://api.spotify.com/v1/tracks/1VkM4OtAnNtJa6XBT3SHR6,https://api.spotify.com/v1/audio-analysis/1VkM4OtAnNtJa6XBT3SHR6,179363,4,indie
Just a Little Bit Lonely,yaeow,0.458,0.488,2,-11.546,1,0.0554,0.931,0.248,0.333,0.593,93.14,audio_features,,5HkDr6w8kst095gAP09k8C,spotify:track:5HkDr6w8kst095gAP09k8C,https://api.spotify.com/v1/tracks/5HkDr6w8kst095gAP09k8C,https://api.spotify.com/v1/audio-analysis/5HkDr6w8kst095gAP09k8C,123191,4,indie
