name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,audio_features,id,uri,track_href,analysis_url,duration_ms,time_signature,target
Blue Moon,Billie Holiday,0.639,0.269,8,-11.435,1,0.0698,0.982,0.12,0.141,0.539,124.866,audio_features,,1pZn8AX1WulW8IO338hE5D,spotify:track:1pZn8AX1WulW8IO338hE5D,https://api.spotify.com/v1/tracks/1pZn8AX1WulW8IO338hE5D,https://api.spotify.com/v1/audio-analysis/1pZn8AX1WulW8IO338hE5D,207827,4,jazz
Gary's Theme - 2003 Remastered Version,Bill Evans,0.421,0.08,7,-21.795,1,0.04,0.903,0.859,0.135,0.0546,122.044,audio_features,,4G3EKvGtqcUSZqPQIWJFxd,spotify:track:4G3EKvGtqcUSZqPQIWJFxd,https://api.spotify.com/v1/tracks/4G3EKvGtqcUSZqPQIWJFxd,https://api.spotify.com/v1/audio-analysis/4G3EKvGtqcUSZqPQIWJFxd,257693,3,jazz
But Not For Me - Vocal Version,Chet Baker,0.626,0.152,5,-14.182,0,0.0405,0.934,6.05E-05,0.12,0.545,82.174,audio_features,,3pfbQmD5xGH9Tcc7GqGfSL,spotify:track:3pfbQmD5xGH9Tcc7GqGfSL,https://api.spotify.com/v1/tracks/3pfbQmD5xGH9Tcc7GqGfSL,https://api.spotify.com/v1/audio-analysis/3pfbQmD5xGH9Tcc7GqGfSL,184467,4,jazz
Cantaloupe Island - Remastered,Herbie Hancock,0.515,0.583,0,-8.182,0,0.0284,0.749,0.000294,0.123,0.414,116.11,audio_features,,0sCeNwt8xRCMR4NhKpMyBe,spotify:track:0sCeNwt8xRCMR4NhKpMyBe,https://api.spotify.com/v1/tracks/0sCeNwt8xRCMR4NhKpMyBe,https://api.spotify.com/v1/audio-analysis/0sCeNwt8xRCMR4NhKpMyBe,333947,4,jazz
Questar,Keith Jarrett,0.468,0.391,2,-13.196,0,0.0269,0.658,0.0617,0.111,0.342,142.413,audio_features,,1ChYuSIoOFDVY6fHSXF6zS,spotify:track:1ChYuSIoOFDVY6fHSXF6zS,https://api.spotify.com/v1/tracks/1ChYuSIoOFDVY6fHSXF6zS,https://api.spotify.com/v1/audio-analysis/1ChYuSIoOFDVY6fHSXF6zS,550493,4,jazz
Bye Bye Blackbird,Etta Jones,0.71,0.318,0,-8.948,0,0.0432,0.867,0.00038,0.169,0.58,126.05,audio_features,,7GBPpRMtLyGA6svXQMNfIN,spotify:track:7GBPpRMtLyGA6svXQMNfIN,https://api.spotify.com/v1/tracks/7GBPpRMtLyGA6svXQMNfIN,https://api.spotify.com/v1/audio-analysis/7GBPpRMtLyGA6svXQMNfIN,194240,4,jazz
Corcovado (Quiet Nights Of Quiet Stars),Stan Getz,0.597,0.128,9,-16.656,0,0.0491,0.959,0.000704,0.123,0.34,128.393,audio_features,,0xcJPMoBe9FenntXbfyx97,spotify:track:0xcJPMoBe9FenntXbfyx97,https://api.spotify.com/v1/tracks/0xcJPMoBe9FenntXbfyx97,https://api.spotify.com/v1/audio-analysis/0xcJPMoBe9FenntXbfyx97,254400,4,jazz
Never Will I Marry,Cannonball Adderley,0.589,0.184,0,-12.282,1,0.049,0.631,0,0.0819,0.343,98.365,audio_features,,2bOUrmH6OljKtXOLjvVEU8,spotify:track:2bOUrmH6OljKtXOLjvVEU8,https://api.spotify.com/v1/tracks/2bOUrmH6OljKtXOLjvVEU8,https://api.spotify.com/v1/audio-analysis/2bOUrmH6OljKtXOLjvVEU8,139200,4,jazz
I've Grown Accustomed To Her Face - Remastered/1998,Dean Martin,0.567,0.124,0,-16.446,1,0.0562,0.792,0,0.106,0.343,79.37,audio_features,,0BFCbH1cxzeUSJBVwJGRLg,spotify:track:0BFCbH1cxzeUSJBVwJGRLg,https://api.spotify.com/v1/tracks/0BFCbH1cxzeUSJBVwJGRLg,https://api.spotify.com/v1/audio-analysis/0BFCbH1cxzeUSJBVwJGRLg,162867,4,jazz
Cool Struttin',Sonny Clark,0.58,0.48,7,-7.682,0,0.0339,0.837,0.00432,0.171,0.48,108.892,audio_features,,7CnOzCWGrTINcDExG6u99y,spotify:track:7CnOzCWGrTINcDExG6u99y,https://api.spotify.com/v1/tracks/7CnOzCWGrTINcDExG6u99y,https://api.spotify.com/v1/audio-analysis/7CnOzCWGrTINcDExG6u99y,563613,4,jazz
I'll Remember April - Instrumental,Chet Baker,0.435,0.499,9,-8.576,0,0.0317,0.768,0.107,0.131,0.683,121.924,audio_features,,74HwaWwtVa2buG8OIHZkgs,spotify:track:74HwaWwtVa2buG8OIHZkgs,https://api.spotify.com/v1/tracks/74HwaWwtVa2buG8OIHZkgs,https://api.spotify.com/v1/audio-analysis/74HwaWwtVa2buG8OIHZkgs,352293,4,jazz
These Foolish Things (Remastered),Lester Young,0.593,0.103,10,-14.961,1,0.081,0.986,0.6,0.12,0.443,66.283,audio_features,,0ldmR2mJJNEoBIINfZWdv6,spotify:track:0ldmR2mJJNEoBIINfZWdv6,https://api.spotify.com/v1/tracks/0ldmR2mJJNEoBIINfZWdv6,https://api.spotify.com/v1/audio-analysis/0ldmR2mJJNEoBIINfZWdv6,190933,4,jazz
Goodbye Pork Pie Hat,Charles Mingus,0.356,0.0937,8,-16.64,0,0.0353,0.957,0.096,0.209,0.278,86.669,audio_features,,3PJMsxg6rz9FOo6xNiASXz,spotify:track:3PJMsxg6rz9FOo6xNiASXz,https://api.spotify.com/v1/tracks/3PJMsxg6rz9FOo6xNiASXz,https://api.spotify.com/v1/audio-analysis/3PJMsxg6rz9FOo6xNiASXz,342373,3,jazz
April In Paris - 2007 Remaster/Rudy Van Gelder Edition,Thad Jones,0.509,0.224,0,-11.123,1,0.0327,0.736,0.301,0.327,0.17,112.355,audio_features,,3QuSHJUfvuOyeKMS32Wckj,spotify:track:3QuSHJUfvuOyeKMS32Wckj,https://api.spotify.com/v1/tracks/3QuSHJUfvuOyeKMS32Wckj,https://api.spotify.com/v1/audio-analysis/3QuSHJUfvuOyeKMS32Wckj,403360,4,jazz
