name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,audio_features,id,uri,track_href,analysis_url,duration_ms,time_signature,target
Video Killed The Radio Star,The Presidents Of The United States Of America,0.578,0.713,1,-6.868,1,0.0578,0.184,0,0.102,0.741,140.72,audio_features,,7wck5ORA8dJB8To9rc10gi,spotify:track:7wck5ORA8dJB8To9rc10gi,https://api.spotify.com/v1/tracks/7wck5ORA8dJB8To9rc10gi,https://api.spotify.com/v1/audio-analysis/7wck5ORA8dJB8To9rc10gi,202733,4,liked
The Distance,Cake,0.463,0.749,11,-8.118,0,0.0891,0.00796,0.00219,0.0558,0.888,183.048,audio_features,,0xMEF2WiqKWTIG7Krjungw,spotify:track:0xMEF2WiqKWTIG7Krjungw,https://api.spotify.com/v1/tracks/0xMEF2WiqKWTIG7Krjungw,https://api.spotify.com/v1/audio-analysis/0xMEF2WiqKWTIG7Krjungw,179653,4,liked
The Road,The Finches,0.756,0.307,9,-9.173,0,0.0272,0.712,2.37e-05,0.158,0.231,108.465,audio_features,,69mHZQCkrGvFysOE1zrZ0B,spotify:track:69mHZQCkrGvFysOE1zrZ0B,https://api.spotify.com/v1/tracks/69mHZQCkrGvFysOE1zrZ0B,https://api.spotify.com/v1/audio-analysis/69mHZQCkrGvFysOE1zrZ0B,281120,4,liked
Rot,DBMK,0.688,0.684,0,-4.757,1,0.0622,0.223,0,0.111,0.587,120.092,audio_features,,5c3vwFnshSZyqCVbFY5zfw,spotify:track:5c3vwFnshSZyqCVbFY5zfw,https://api.spotify.com/v1/tracks/5c3vwFnshSZyqCVbFY5zfw,https://api.spotify.com/v1/audio-analysis/5c3vwFnshSZyqCVbFY5zfw,238000,4,liked
Sinister Sound,The Kite Machine,0.629,0.539,11,-9.134,0,0.106,0.0264,0.00225,0.0625,0.584,172.011,audio_features,,5mFUfMAcUAzu5n5nfk5dOb,spotify:track:5mFUfMAcUAzu5n5nfk5dOb,https://api.spotify.com/v1/tracks/5mFUfMAcUAzu5n5nfk5dOb,https://api.spotify.com/v1/audio-analysis/5mFUfMAcUAzu5n5nfk5dOb,217449,4,liked
burnt and worn out,fredo disco,0.687,0.48,2,-6.785,1,0.0361,0.0338,0,0.308,0.771,131.995,audio_features,,6GajatQq3cCxzrPAxzWUrS,spotify:track:6GajatQq3cCxzrPAxzWUrS,https://api.spotify.com/v1/tracks/6GajatQq3cCxzrPAxzWUrS,https://api.spotify.com/v1/audio-analysis/6GajatQq3cCxzrPAxzWUrS,213331,4,liked
Post Modern Fade,Cottonwood Firing Squad,0.852,0.451,2,-12.818,1,0.0463,0.41,0.0279,0.109,0.965,119.965,audio_features,,0dvaooNkLN3AMthU4VCWgK,spotify:track:0dvaooNkLN3AMthU4VCWgK,https://api.spotify.com/v1/tracks/0dvaooNkLN3AMthU4VCWgK,https://api.spotify.com/v1/audio-analysis/0dvaooNkLN3AMthU4VCWgK,103937,4,liked
didya think,Arlie,0.468,0.89,4,-2.974,1,0.0701,0.00415,1.21e-05,0.508,0.709,140.265,audio_features,,4HOg84QsolNLzNp08qZ3sX,spotify:track:4HOg84QsolNLzNp08qZ3sX,https://api.spotify.com/v1/tracks/4HOg84QsolNLzNp08qZ3sX,https://api.spotify.com/v1/audio-analysis/4HOg84QsolNLzNp08qZ3sX,200467,4,liked
Seven Wonders,Bowerbirds,0.652,0.665,2,-9.707,1,0.137,0.275,0,0.0913,0.82,116.024,audio_features,,42t8R5VKOu8JCODeOfAq3T,spotify:track:42t8R5VKOu8JCODeOfAq3T,https://api.spotify.com/v1/tracks/42t8R5VKOu8JCODeOfAq3T,https://api.spotify.com/v1/audio-analysis/42t8R5VKOu8JCODeOfAq3T,176956,4,liked
Kool Girl,Seasalt,0.824,0.683,9,-9.473,0,0.0487,0.125,4.74e-05,0.0637,0.757,124.051,audio_features,,6YNjQUFByeYN29whlsSJXj,spotify:track:6YNjQUFByeYN29whlsSJXj,https://api.spotify.com/v1/tracks/6YNjQUFByeYN29whlsSJXj,https://api.spotify.com/v1/audio-analysis/6YNjQUFByeYN29whlsSJXj,225986,4,liked
Out of Tune,The Backseat Lovers,0.435,0.526,8,-8.624,1,0.0444,0.011,1.64e-05,0.145,0.538,95.942,audio_features,,2PAPBCPdmMd9QWqE3eo5ai,spotify:track:2PAPBCPdmMd9QWqE3eo5ai,https://api.spotify.com/v1/tracks/2PAPBCPdmMd9QWqE3eo5ai,https://api.spotify.com/v1/audio-analysis/2PAPBCPdmMd9QWqE3eo5ai,307478,4,liked
She's Alright,Fashion Jackson,0.339,0.462,6,-13.578,1,0.0499,0.00289,4.3e-05,0.259,0.335,162.671,audio_features,,2g4g6bzF7lgSjEhK19Hztv,spotify:track:2g4g6bzF7lgSjEhK19Hztv,https://api.spotify.com/v1/tracks/2g4g6bzF7lgSjEhK19Hztv,https://api.spotify.com/v1/audio-analysis/2g4g6bzF7lgSjEhK19Hztv,292174,4,liked
Paris,Tigers in the Sky,0.694,0.58,2,-11.162,1,0.0267,0.812,0.000977,0.13,0.36,113.643,audio_features,,2dEVdJTq79QElGsZgx5rFP,spotify:track:2dEVdJTq79QElGsZgx5rFP,https://api.spotify.com/v1/tracks/2dEVdJTq79QElGsZgx5rFP,https://api.spotify.com/v1/audio-analysis/2dEVdJTq79QElGsZgx5rFP,174507,4,liked
Sweet Dream,Sarah and the Sundays,0.525,0.567,7,-8.596,1,0.0328,0.382,0.00122,0.304,0.718,159.895,audio_features,,2q1xeWDzcuFXIzEH1zyyn1,spotify:track:2q1xeWDzcuFXIzEH1zyyn1,https://api.spotify.com/v1/tracks/2q1xeWDzcuFXIzEH1zyyn1,https://api.spotify.com/v1/audio-analysis/2q1xeWDzcuFXIzEH1zyyn1,156756,4,liked
Grass Eater,The Mellowells,0.622,0.785,7,-7.018,1,0.03,0.134,3.94e-05,0.108,0.747,111.977,audio_features,,08VmsF8pxSVk0cWPAGdSj2,spotify:track:08VmsF8pxSVk0cWPAGdSj2,https://api.spotify.com/v1/tracks/08VmsF8pxSVk0cWPAGdSj2,https://api.spotify.com/v1/audio-analysis/08VmsF8pxSVk0cWPAGdSj2,228680,4,liked
life!,fredo disco,0.443,0.905,11,-6.662,0,0.0759,0.148,0.000195,0.364,0.947,177.527,audio_features,,1fDsPpyR4utXvOFc9cefJt,spotify:track:1fDsPpyR4utXvOFc9cefJt,https://api.spotify.com/v1/tracks/1fDsPpyR4utXvOFc9cefJt,https://api.spotify.com/v1/audio-analysis/1fDsPpyR4utXvOFc9cefJt,146347,4,liked
