name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,target
Recap (with VanJess & Channel Tres),Kito,0.771,0.553,11,-8.741,0,0.121,0.0166,3.78E-05,0.145,0.484,115.002,177725,4,1
Take My Hand,LP Giobbi,0.686,0.669,7,-6.778,1,0.303,0.256,0.153,0.125,0.308,125.073,188295,4,1
BED,Joel Corry,0.671,0.782,6,-4.593,1,0.0341,0.0142,0.00221,0.333,0.618,123.989,178088,4,1
Shapes,Carla Monroe,0.74,0.83,4,-5.523,0,0.129,0.0548,0.00931,0.0746,0.714,124.023,174252,4,1
Sacrifice,Bebe Rexha,0.659,0.877,11,-5.089,0,0.0288,0.0878,0,0.094,0.471,119.992,160871,4,1
Gotta Be You,NERVO,0.642,0.869,6,-5.271,0,0.0452,0.252,0.0288,0.0708,0.376,123.91,149032,4,1
Clouds,Slayyyter,0.66,0.703,1,-9.791,1,0.0375,0.00132,0.000327,0.0833,0.229,123.939,190991,4,1
"I'm Every Woman - From “Black History Always / Music For the Movement Vol. 2""",Tinashe,0.785,0.758,5,-7.551,0,0.0531,0.127,0.0184,0.0781,0.642,115.031,219348,4,1
Tell Me Something,Maxinne,0.683,0.834,11,-6.086,0,0.0421,0.02,0.341,0.1,0.595,123.997,226452,4,1
Colours,Hayla,0.684,0.807,7,-5.841,0,0.0383,0.0277,0.000309,0.164,0.616,125.015,182430,4,1
Twinkle Twinkle,Holy Molly,0.685,0.716,1,-4.053,0,0.0914,0.111,0,0.251,0.4,125.944,189544,4,1
You've Done Enough,Gorgon City,0.685,0.791,0,-6.628,1,0.0337,0.016,0.153,0.703,0.539,125.052,213547,4,1
Soon Not Later,Lady Bee,0.783,0.852,1,-4.774,1,0.0493,0.0498,0.00206,0.111,0.559,126.012,158095,4,1
Under The Water,Camden Cox,0.571,0.82,0,-6.986,1,0.0573,0.0543,0.000593,0.205,0.332,122.804,165494,4,1
Marea (We’ve Lost Dancing),Fred again..,0.761,0.781,5,-6.778,0,0.141,0.0681,0.108,0.0607,0.473,123.023,285375,4,1
Sacrificial (feat. PVRIS),Rezz,0.552,0.564,7,-5.941,1,0.0415,0.0686,0.0131,0.34,0.321,164.952,182000,4,1
The Logical Song,MATTN,0.612,0.982,6,-2.984,0,0.0496,0.00618,0.433,0.274,0.175,128.122,162187,4,1
Just Us - Radio Edit,CINTHIE,0.719,0.91,5,-9.144,0,0.0729,0.000907,0.838,0.113,0.721,124.982,215640,4,1
Body Pump - UNIIQU3 Remix,Aluna,0.634,0.964,10,-5.313,0,0.0371,0.00894,0.462,0.0765,0.446,136.035,236411,4,1
Float,Anabel Englund,0.711,0.684,11,-8.866,0,0.0282,0.167,0.00265,0.124,0.307,120.976,212878,4,1
LUCID,Rina Sawayama,0.672,0.895,8,-2.836,1,0.0469,0.0145,0.000968,0.175,0.412,125.983,218108,4,1
TASTY,Shygirl,0.676,0.82,4,-5.347,0,0.061,0.00113,0.199,0.104,0.553,129.991,144200,4,1
Love We Had,Jess Bays,0.853,0.795,7,-7.346,1,0.06,0.0714,0.104,0.0961,0.803,125.014,133728,4,1
